"Dias desde o início da epidemia";"#BR: São Paulo";"#Mun BR: São José dos Campos SP"
"Dia 1";1;1
"Dia 2";1;1
"Dia 3";1;1
"Dia 4";2;1
"Dia 5";2;1
"Dia 6";2;1
"Dia 7";2;1
"Dia 8";2;2
"Dia 9";3;2
"Dia 10";6;4
"Dia 11";10;4
"Dia 12";13;4
"Dia 13";16;5
"Dia 14";16;9
"Dia 15";19;12
"Dia 16";30;14
"Dia 17";46;20
"Dia 18";65;24
"Dia 19";152;30
"Dia 20";164;48
"Dia 21";240;61
"Dia 22";286;77
"Dia 23";396;81
"Dia 24";396;85
"Dia 25";631;85
"Dia 26";745;85
"Dia 27";810;85
"Dia 28";862;90
"Dia 29";1052;113
"Dia 30";1223;116
"Dia 31";1406;135
"Dia 32";1451;138
"Dia 33";1517;136
"Dia 34";2339;136
"Dia 35";2981;138
"Dia 36";3506;139
"Dia 37";4048;141
"Dia 38";4466;158
"Dia 39";4620;174
"Dia 40";4866;174
"Dia 41";5682;185
"Dia 42";6708;194
"Dia 43";7480;202
"Dia 44";8216;219
"Dia 45";8419;224
"Dia 46";8755;226
"Dia 47";8895;234
"Dia 48";9371;236
"Dia 49";11043;257
"Dia 50";11568;296
"Dia 51";12841;322
"Dia 52";13894;340
"Dia 53";14267;354
"Dia 54";14580;355
"Dia 55";15385;356
"Dia 56";15914;365
"Dia 57";16740;407
"Dia 58";17826;393
"Dia 59";20004;412
"Dia 60";20715;429
"Dia 61";21696;450
"Dia 62";24041;467
"Dia 63";26158;480
"Dia 64";28698;546
"Dia 65";30374;586
"Dia 66";31174;618
"Dia 67";31772;653
"Dia 68";32187;665
"Dia 69";34053;692
"Dia 70";37853;694
"Dia 71";39928;729
"Dia 72";41830;807
"Dia 73";44411;835
"Dia 74";45444;890
"Dia 75";46131;899
"Dia 76";47719;901
"Dia 77";51097;969
"Dia 78";54286;1018
"Dia 79";58378;1082
"Dia 80";61183;1110
"Dia 81";62345;1145
"Dia 82";63066;1186
"Dia 83";65995;1214
"Dia 84";69859;1268
"Dia 85";73739;1337
"Dia 86";76871;1445
"Dia 87";80558;1469
"Dia 88";82161;1502
"Dia 89";83625;1524
"Dia 90";86017;1533
"Dia 91";89483;1687
"Dia 92";95865;1700
"Dia 93";101556;1711
"Dia 94";107142;2023
"Dia 95";109698;2045
"Dia 96";111296;2089
"Dia 97";118295;2130
"Dia 98";123483;2256
"Dia 99";129200;2355
"Dia 100";134565;2455
"Dia 101";140549;2561
"Dia 102";143073;2673
"Dia 103";144593;2812
"Dia 104";150138;2896
"Dia 105";156316;2943
"Dia 106";162520;3064
"Dia 107";167900;3145
"Dia 108";172875;3277
"Dia 109";178202
"Dia 110";181460
"Dia 111";190285
"Dia 112";191517
"Dia 113";192628
"Dia 114";211658
"Dia 115";215793
"Dia 116";219185
"Dia 117";221973
"Dia 118";229475
"Dia 119";238822
"Dia 120";248587
"Dia 121";258508
"Dia 122";265581
"Dia 123";271737
"Dia 124";275145
"Dia 125";281380
"Dia 126";289935
"Dia 127";302179
"Dia 128";310517
"Dia 129";312530